Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
ADAMANTINA;3500105;5;34.424;5;33797;5;33.820;6;33.843;6;34.953;4;35.001;6;35.048;4;35.094;5; 35.139 ;5;35.023;51
ADOLFO;3500204;-;3.710;-;3557;1;3.547;2;3.538;-;3.639;2;3.631;-;3.623;2;3.616;2; 3.609 ;-;3.571;9
AGUAÍ;3500303;8;32.101;14;32168;12;32.451;15;32.745;8;34.188;8;34.530;8;34.863;10;35.189;7; 35.508 ;3;35.954;93
ÁGUAS DA PRATA;3500402;-;7.734;-;7580;-;7.619;1;7.653;1;7.942;-;7.984;-;8.025;-;8.065;1; 8.104 ;1;8.137;4
ÁGUAS DE LINDÓIA;3500501;2;16.341;3;17261;1;17.353;4;17.438;1;18.108;1;18.212;2;18.313;5;18.412;5; 18.509 ;2;18.599;26
ÁGUAS DE SANTA BÁRBARA;3500550;-;5.612;-;5598;-;5.630;1;5.658;-;5.876;2;5.911;1;5.944;2;5.977;1; 6.009 ;2;6.040;9
ÁGUAS DE SÃO PEDRO;3500600;1;2.613;1;2703;-;2.770;2;2.832;-;3.004;-;3.073;1;3.139;-;3.205;-; 3.268 ;-;3.380;5
AGUDOS;3500709;9;36.188;12;34532;18;34.681;9;34.833;11;36.150;11;36.339;8;36.524;6;36.704;9; 36.880 ;5;37.023;98
ALAMBARI;3500758;-;4.391;-;4886;-;4.979;1;5.071;-;5.356;1;5.460;-;5.560;-;5.658;-; 5.754 ;3;5.918;5
ALFREDO MARCONDES;3500808;-;4.055;-;3891;-;3.906;2;3.921;-;4.064;-;4.083;-;4.101;-;4.118;-; 4.135 ;-;4.147;2
ALTAIR;3500907;1;3.287;-;3814;2;3.837;1;3.859;-;4.010;3;4.035;1;4.060;2;4.085;-; 4.109 ;-;4.134;10
ALTINÓPOLIS;3501004;4;15.554;1;15609;-;15.617;2;15.627;2;16.137;5;16.159;1;16.179;3;16.199;5; 16.219 ;3;16.164;26
ALTO ALEGRE;3501103;1;4.267;-;4105;-;4.090;2;4.078;1;4.193;-;4.183;2;4.173;-;4.164;3; 4.154 ;3;4.110;12
ALUMÍNIO;3501152;4;16.427;5;16845;2;16.961;6;17.079;-;17.784;2;17.924;3;18.061;3;18.194;3; 18.324 ;2;18.484;30
ÁLVARES FLORENCE;3501202;-;3.876;-;3901;-;3.865;1;3.834;2;3.915;-;3.883;-;3.853;-;3.824;-; 3.795 ;-;3.712;3
ÁLVARES MACHADO;3501301;5;23.779;3;23506;1;23.578;3;23.642;2;24.482;2;24.568;7;24.651;4;24.733;1; 24.813 ;5;24.830;33
ÁLVARO DE CARVALHO;3501400;21;4.984;24;4650;15;4.692;17;4.732;20;4.937;33;4.984;31;5.030;24;5.075;34; 5.119 ;32;5.179;251
ALVINLÂNDIA;3501509;1;2.869;1;3000;-;3.013;-;3.025;1;3.137;-;3.153;-;3.168;-;3.182;3; 3.196 ;-;3.206;6
AMERICANA;3501608;64;205.229;54;210701;68;212.791;73;214.873;69;224.551;45;226.970;46;229.322;40;231.621;44; 233.868 ;45;237.112;548
AMÉRICO BRASILIENSE;3501707;10;5.488;4;34522;9;34.953;10;35.413;11;37.165;12;37.691;9;38.202;6;38.701;11; 39.189 ;7;39.962;89
AMÉRICO DE CAMPOS;3501806;-;33.255;1;5706;2;5.715;1;5.723;-;5.916;-;5.930;-;5.942;-;5.955;2; 5.967 ;-;5.956;6
AMPARO;3501905;16;65.928;24;65836;11;66.245;24;66.649;19;69.322;9;69.808;15;70.280;13;70.742;23; 71.193 ;12;71.700;166
ANALÂNDIA;3502002;1;4.558;1;4289;-;4.348;-;4.401;2;4.612;-;4.672;-;4.731;-;4.789;-; 4.845 ;1;4.933;5
ANDRADINA;3502101;23;56.593;27;55317;19;55.347;19;55.361;27;57.145;35;57.198;29;57.250;33;57.300;36; 57.350 ;21;57.112;269
ANGATUBA;3502200;3;23.225;5;22211;2;22.434;-;22.650;6;23.666;4;23.917;4;24.161;3;24.400;5; 24.634 ;2;24.969;34
ANHEMBI;3502309;3;5.766;1;5648;-;5.739;1;5.822;2;6.120;1;6.215;1;6.307;2;6.397;1; 6.484 ;3;6.627;15
ANHUMAS;3502408;2;3.947;-;3738;1;3.763;-;3.788;1;3.941;-;3.970;-;3.999;-;4.026;-; 4.053 ;1;4.085;5
APARECIDA;3502507;7;37.629;22;35043;17;35.015;22;35.023;24;36.151;14;36.184;21;36.217;20;36.248;15; 36.279 ;14;36.129;176
APARECIDA D'OESTE;3502606;-;4.598;-;4444;1;4.413;-;4.377;-;4.468;2;4.432;-;4.397;-;4.362;1; 4.329 ;1;4.234;5
APIAÍ;3502705;6;25.700;2;25196;1;25.040;1;24.894;1;25.491;2;25.349;1;25.211;1;25.077;3; 24.945 ;1;24.526;19
ARAÇARIGUAMA;3502754;9;13.208;9;17085;8;17.535;6;17.975;9;19.144;5;19.636;5;20.114;9;20.581;4; 21.038 ;7;21.854;71
ARAÇATUBA;3502804;40;182.204;23;181618;31;182.525;39;183.441;31;190.536;37;191.662;43;192.757;28;193.828;39; 194.874 ;38;195.874;349
ARAÇOIABA DA SERRA;3502903;3;26.626;7;27323;10;27.873;5;28.429;3;30.088;6;30.713;6;31.321;8;31.915;3; 32.495 ;9;33.499;60
